1,"Bitcoin","$535,745,489,798","$27,621.00","19,387,256","$18,015,260,623","1.39 %",2023-05-29 15:37:09.018834
2,"Ethereum","$226,971,462,623","$1,887.50","120,254,303","$8,582,908,607","2.43 %",2023-05-29 15:37:09.018834
3,"Tether","$83,102,292,692","$1.00","83,127,088,775","$17,122,646,762","-0.22 %",2023-05-29 15:37:09.018834
4,"BNB","$49,486,461,456","$313.44","157,886,280","$757,034,351","1.83 %",2023-05-29 15:37:09.018834
5,"USD Coin","$29,018,156,066","$1.00","29,051,075,072","$4,215,844,672","-0.13 %",2023-05-29 15:37:09.018834
6,"XRP","$25,041,040,049","$0.48","51,983,386,003","$913,140,780","1.50 %",2023-05-29 15:37:09.018834
7,"Cardano","$13,181,986,725","$0.38","35,045,020,830","$203,781,913","0.12 %",2023-05-29 15:37:09.018834
9,"Dogecoin","$10,190,117,593","$0.07","139,547,126,384","$239,499,198","0.66 %",2023-05-29 15:37:09.018834
10,"Polygon","$8,556,238,586","$0.92","9,279,469,069","$255,351,114","0.00 %",2023-05-29 15:37:09.018834
11,"Solana","$8,189,236,315","$20.55","396,462,737","$301,180,357","0.26 %",2023-05-29 15:37:09.018834
12,"TRON","$6,947,374,755","$0.08","90,258,295,464","$309,844,630","-0.53 %",2023-05-29 15:37:09.018834
13,"Polkadot","$6,754,004,694","$5.43","1,237,184,378","$109,888,444","0.65 %",2023-05-29 15:37:09.018834
14,"Litecoin","$6,645,984,136","$91.02","73,027,946","$484,242,541","1.87 %",2023-05-29 15:37:09.018834
15,"Binance USD","$5,250,051,935","$1.00","5,276,149,035","$1,550,714,249","-0.53 %",2023-05-29 15:37:09.018834
16,"Shiba Inu","$5,194,844,278","$0.00","589,344,415,611,590","$92,619,573","0.20 %",2023-05-29 15:37:09.018834
17,"Avalanche","$4,992,906,239","$14.52","343,959,225","$161,242,263","0.20 %",2023-05-29 15:37:09.018834
18,"Dai","$4,615,098,513","$1.00","4,623,786,189","$106,454,928","-0.23 %",2023-05-29 15:37:09.018834
19,"Wrapped Bitcoin","$4,348,132,153","$27,717.00","156,349","$160,960,268","1.75 %",2023-05-29 15:37:09.018834
20,"Uniswap","$3,866,310,346","$5.11","753,766,667","$43,701,339","1.40 %",2023-05-29 15:37:09.018834
21,"Chainlink","$3,390,973,948","$6.56","517,099,971","$131,293,584","0.81 %",2023-05-29 15:37:09.018834
22,"LEO Token","$3,320,455,712","$3.57","930,249,558","$182,680","1.72 %",2023-05-29 15:37:09.018834
23,"Cosmos Hub","$3,158,737,292","$10.80","292,586,164","$77,705,822","1.85 %",2023-05-29 15:37:09.018834
24,"OKB","$2,818,414,242","$46.97","60,000,000","$6,750,172","0.09 %",2023-05-29 15:37:09.018834
25,"Monero","$2,799,027,298","$154.23","18,147,820","$89,272,047","0.43 %",2023-05-29 15:37:09.018834
27,"Ethereum Classic","$2,579,179,105","$18.27","141,187,933","$74,949,800","0.03 %",2023-05-29 15:37:09.018834
28,"Stellar","$2,390,593,516","$0.09","26,803,752,655","$40,539,092","0.96 %",2023-05-29 15:37:09.018834
